,dataset_name,n_components,reconstruction_error
0,bank_marketing,1,16.96242522911354
1,bank_marketing,3,3.9053760375472266
2,bank_marketing,5,2.379719140571033
3,bank_marketing,7,2.505110034589224
4,bank_marketing,9,1.4202396538175328
5,bank_marketing,11,1.8340050194154858
6,bank_marketing,13,1.3713727393327506
7,bank_marketing,15,0.9027007426918493
8,bank_marketing,17,0.9240187690087077
9,bank_marketing,19,0.8744544333741814
10,bank_marketing,21,0.6682629229627611
11,bank_marketing,23,0.7172522314504224
12,bank_marketing,26,0.5325325615578705
13,bank_marketing,28,0.6017390675311179
14,bank_marketing,30,0.5289485485850983
15,bank_marketing,32,0.4626744504113683
16,bank_marketing,34,0.5257839383039716
17,bank_marketing,36,0.5465825113074918
18,bank_marketing,38,0.45912729471289265
19,bank_marketing,40,0.41422927376698093
20,bank_marketing,42,0.3679941223173106
21,bank_marketing,44,0.41177325702500456
22,bank_marketing,46,0.346273445999371
23,bank_marketing,48,0.2917382749370776
24,bank_marketing,51,0.2561969898272974
25,real_waste,1,108646555.8033612
26,real_waste,171,563515.4437542554
27,real_waste,342,342280.8366066569
28,real_waste,512,210522.06896041805
29,real_waste,683,146572.4277014687
30,real_waste,854,137721.3253373528
31,real_waste,1024,103002.61045177326
32,real_waste,1195,92198.98618405589
33,real_waste,1366,77536.14426623922
34,real_waste,1536,69955.73303149798
35,real_waste,1707,64849.63230261178
36,real_waste,1877,61000.11066750555
37,real_waste,2048,50444.026895645504
38,real_waste,2219,46605.91671978746
39,real_waste,2389,44304.289077239635
40,real_waste,2560,42332.94764925466
41,real_waste,2731,37816.84726322445
42,real_waste,2901,36470.02208285528
43,real_waste,3072,34754.619994300636
44,real_waste,3242,32367.680763312583
45,real_waste,3413,30864.162161145476
46,real_waste,3584,30007.228400226435
47,real_waste,3754,28594.462020297535
48,real_waste,3925,26445.450265570245
49,real_waste,4096,26266.136421432642
